Scrip Code,COMPANY,ISIN No.,Close Price
500093,CG Power and Industrial Soluti,INE067A01029,866.35
542399,Chalet Hotels Limited,INE427F01016,815.05
500085,CHAMBAL FERTILISERS & CHEMICAL,INE085A01013,431.5
500110,CHENNAI PETROLEUM CORPORATION,INE178A01016,1214
531358,CHOICE INTERNATIONAL LTD.,INE102B01014,797.5
504973,CHOLAMANDALAM FINANCIAL HOLDIN,INE149A01033,1518.2
511243,CHOLAMANDALAM INVESTMENT AND F,INE121A01024,1725.7
532756,CIE Automotive India Limited,INE536H01010,413.9
500087,CIPLA LTD.,INE059A01026,1410.9
532210,CITY UNION BANK LIMITED,INE491A01021,219.75
543318,Clean Science and Technology L,INE227W01023,720.95
533278,COAL INDIA LTD.,INE522F01014,427.25
540678,Cochin Shipyard Limited,INE704P01025,1391.95
532541,COFORGE LIMITED,INE591G01025,1484.7
543064,Cohance Lifesciences Limited,INE03QK01018,417.6
500830,COLGATE-PALMOLIVE (INDIA) LTD.,INE259A01022,2088.25
543232,Computer Age Management Servic,INE596I01020,761.15
543960,Concord Biotech Limited,INE338H01029,1248.65
531344,CONTAINER CORPORATION OF INDIA,INE111A01025,477.8
506395,COROMANDEL INTERNATIONAL LTD.,INE169A01031,1981.15
543276,Craftsman Automation Limited,INE00LO01017,9295.9
541770,CreditAccess Grameen Ltd.,INE741K01010,1516.9
500092,CRISIL LTD.,INE007A01025,4350.3
539876,Crompton Greaves Consumer Elec,INE299U01018,249.95
500480,CUMMINS INDIA LTD.,INE298A01020,5601.85
532175,CYIENT LIMITED,INE136B01020,840
500096,DABUR INDIA LTD.,INE016A01026,423.4
542216,DALMIA BHARAT LIMITED,INE00R701025,1808.75
543428,Data Patterns (India) Limited,INE0IX101010,4582.5
523367,DCM SHRIRAM LIMITED,INE499A01024,1005.45
500645,DEEPAK FERTILISERS & PETROCHEM,INE501A01019,1571.55
506401,DEEPAK NITRITE LTD.,INE288B01029,1649.5
543529,Delhivery Limited,INE148O01028,462.55
543330,Devyani International Limited,INE872J01023,112.3
532488,DIVIS LABORATORIES LTD.,INE361B01024,7246.65
540699,Dixon Technologies (India) Lim,INE935N01020,13845.25
532868,DLF LTD.,INE271C01023,645.5
544045,DOMS Industries Limited,INE321T01012,2221.85
539524,Dr. Lal Pathlabs Limited,INE600L01024,1756.7
500124,DR.REDDYS LABORATORIES LTD.,INE089A01031,1152.6
500125,E.I.D.-PARRY (INDIA) LTD.,INE126A01031,757.8
532927,ECLERX SERVICES LTD.,INE738I01010,1861.5
505200,EICHER MOTORS LTD.,INE066A01021,7628.4
500840,EIH LTD.,INE230A01023,325.35
505700,ELECON ENGINEERING CO.LTD.,INE205B01031,421.5
522074,ELGI EQUIPMENTS LTD.,INE285A01027,577.85
531162,EMAMI LTD.,INE548C01032,408.3
532832,EMBASSY DEVELOPMENTS LIMITED,INE069I01010,61.28
544210,Emcure Pharmaceuticals Limited,INE168P01015,1881.65
544608,Emmvee Photovoltaic Power Limi,INE1C6T01020,330.7
540153,Endurance Technologies Limited,INE913H01037,2637.35
532178,ENGINEERS INDIA LTD.,INE510A01028,225.3
540596,Eris Lifesciences Limited,INE406M01024,1398.9
500495,Escorts Kubota Limited,INE042A01014,2903.5
543320,Eternal Limited,INE758T01015,280
500086,EXIDE INDUSTRIES LTD.,INE302A01020,442.95
500469,FEDERAL BANK LTD.,INE171A01029,354.2
500144,FINOLEX CABLES LTD.,INE235A01022,998.55
500940,FINOLEX INDUSTRIES LTD.,INE183A01024,163.6
532809,FIRSTSOURCE SOLUTIONS LTD.,INE684F01012,253.8
543663,Five-Star Business Finance Ltd,INE128S01021,535.15
500033,FORCE MOTORS LTD.,INE451A01017,17627.1
532843,FORTIS HEALTHCARE LTD.,INE061F01013,945.15
543384,FSN E-Commerce Ventures Limite,INE388Y01029,322.8
505714,GABRIEL INDIA LTD.,INE524A01029,1364.05
532155,GAIL (INDIA) LTD.,INE129A01019,170
532726,GALLANTT ISPAT LIMITED,INE297H01019,523.9
542011,Garden Reach Shipbuilders & En,INE382Z01011,2565.45
