Scrip Code,COMPANY,ISIN No.,Close Price
521064,TRIDENT LTD.,INE064C01022,25.13
533655,TRIVENI TURBINE LTD.,INE152M01016,611.6
540762,Tube Investments of India Ltd,INE974X01010,2766.9
520056,TVS Holdings Limited,INE105A01035,14621.2
532343,TVS MOTOR COMPANY LTD.,INE494B01023,3870.05
532505,UCO BANK,INE691A01018,25.86
532538,ULTRATECH CEMENT LTD.,INE481G01011,11839.55
532477,UNION BANK OF INDIA,INE692A01016,170.5
532478,UNITED BREWERIES LTD.,INE686F01025,1398.4
532432,UNITED SPIRITS LTD.,INE854D01024,1468.2
532539,UNO Minda Limited,INE405E01023,1128.05
512070,UPL LIMITED,INE628A01036,602.1
544515,Urban Company Limited,INE0CAZ01013,129.8
517146,USHA MARTIN LTD.,INE228A01035,495.25
543238,UTI Asset Management Company L,INE094J01016,880.6
502986,VARDHMAN TEXTILES LTD.,INE825A01020,612.95
540180,Varun Beverages Limited,INE200M01039,457.3
543463,Vedant Fashions Limited,INE825V01034,403.4
544307,Vishal Mega Mart Limited,INE01EA01019,108
532822,VODAFONE IDEA  LIMITED,INE669E01016,13.13
500575,VOLTAS LTD.,INE226A01021,1327.4
544277,Waaree Energies Limited,INE377N01017,2700.85
532144,WELSPUN CORP LIMITED,INE191B01025,1596.95
514162,WELSPUN LIVING LIMITED,INE192B01031,161.9
500238,WHIRLPOOL OF INDIA LTD.,INE716A01013,771.6
507685,WIPRO LTD.,INE075A01022,177.15
532300,WOCKHARDT LTD.,INE049B01025,1849.9
532648,YES BANK LTD.,INE528G01035,22.96
505537,ZEE ENTERTAINMENT ENTERPRISES,INE256A01028,104.85
533339,ZEN TECHNOLOGIES LTD.,INE251B01027,1769.5
504067,ZENSAR TECHNOLOGIES LTD.,INE520A01027,505.85
533023,ZF Commercial Vehicle Control,INE342J01019,2317.95
532321,Zydus Lifesciences Limited,INE010B01027,1108.9
531335,ZYDUS WELLNESS LTD.,INE768C01028,561.65
