isin,company_id,name,eps,roce,roe
INE961O01016,1275218,Rainbow Child.,28.07,17.35,0.159
INE421D01022,593,CCL Products,32.46,15.82,0.18
INE088F01024,1275228,Paradeep Phosph.,10.31,17.13,0.18899999999999997
INE0Q9301021,1285192,International Gemological Instit,11.84,69.25,0.5579999999999999
INE228A01035,3574,Usha Martin,17.48,19.47,0.151
INE235A01022,788,Finolex Cables,46.71,16.01,0.12326
INE192B01031,3740,Welspun Living,2.14,6.25,0.04301
INE700A01033,1660,Jubilant Pharmo,25.06,8.99,0.05962
INE338H01029,1284439,Concord Biotech,28.98,17.43,0.13543999
INE297H01019,1082,Gallantt Ispat L,20.1,18.23,0.157
INE671H01015,3110,Sobha,21.54,6.86,0.0416
INE251B01027,3791,Zen Technologies,19.98,16.18,0.107
INE0J5401028,1284547,Honasa Consumer,6.11,19.22,0.15449001
INE258A01024,423,BEML Ltd,16.98,7.71,0.04858
INE818H01020,1919,L T Foods,18.42,17.74,0.149
INE872J01023,1274904,Devyani Intl.,-0.22,4.75,-0.015600000000000001
INE01TY01017,1285737,Canara HSBC,1.38,8.35,0.08276
INE482A01020,596,CEAT,146.11,19.15,0.161
INE043W01024,1274919,Vijaya Diagnost.,16.81,21.29,0.19698
INE930P01018,1274847,Anupam Rasayan,15.46,7.36,0.05763
INE321T01012,1284580,DOMS Industries,37.97,24.33,0.20091999
INE109A01011,2984,S C I,29.06,14.31,0.155
INE126A01031,889,EID Parry,31.9,16.96,0.099130005
INE066P01011,1270795,Inox Wind,2.65,10.48,0.067540005
INE663A01033,3281,Supreme Petroch.,25.74,18.79,0.13699999999999998
INE133A01011,115,JSW Dulux,,22.73,0.191
INE290S01011,1274909,Cartrade Tech,45.15,11.84,0.0969
INE852O01025,1274911,Aptus Value Hou.,19.67,15.41,0.201
INE371A01025,1197,Graphite India,8.99,4.58,0.029189998
INE731H01025,53,Action Const.Eq.,37.14,31.70,0.22899999999999998
INE545A01024,1301,HEG,18.67,8.35,0.0742
INE0NNS01018,1284306,NMDC Steel,0.2,3.06,0.00447
INE064C01022,3473,Trident,0.78,9.79,0.0791
INE351F01018,1582,JP Power Ven.,0.7,6.97,0.036000000000000004
INE602A01031,2468,PCBL Chemical,6.58,7.75,0.0558
INE510A01028,935,Engineers India,12.32,30.63,0.23786
INE389H01022,1741,KEC International,22.74,16.53,0.10524999
