isin,company_id,name,eps,roce,roe
INE660A01013,3253,Sundaram Finance,194.09,9.44,0.14659001
INE180A01020,2035,Max Financial,2.42,2.87,0.01629
INE152A01029,3412,Thermax,52.53,13.94,0.106
INE338I01027,2133,Motil.Oswal.Fin.,32.2,12.66,0.155
INE628A01036,3554,UPL,22.3,10.11,0.05614
INE702C01027,214,APL Apollo Tubes,43.3,31.64,0.25314
INE01EA01019,1285185,Vishal Mega Mart,1.9,14.79,0.122
INE151A01013,3364,Tata Comm,33.2,14.63,0.326
INE0LEZ01016,1285444,Ather Energy,-13.99,-19.77,-0.33740002
INE09N301011,1274705,Gujarat Fluoroch,52.3,9.86,0.07547
INE073K01018,1274879,Sona BLW Precis.,11.16,15.11,0.113
INE787D01026,383,Balkrishna Inds,72.72,11.18,0.0966
INE878B01027,1744,KEI Industries,95.98,20.07,0.14753
INE531E01026,1338,Hindustan Copper,9.49,42.40,0.30602
INE415G01027,1274649,Rail Vikas,4.19,10.80,0.08981
INE202B01038,799,Piramal Finance.,74.66,6.47,0.0086
INE0BS701011,1284943,Premier Energies,33.63,33.32,0.42333
INE466L01038,1274695,360 ONE,30.09,12.13,0.14400000000000002
INE171Z01026,1274300,Bharat Dynamics,11.53,13.84,0.1019
INE206F01022,1270863,Authum Invest,19.15,13.76,0.131
INE0CZ201020,1285544,Anthem Bioscienc,10.44,30.37,0.223
INE761H01022,2389,Page Industries,686.38,64.39,0.525
INE159A01016,1143,Glaxosmi. Pharma,61.07,61.41,0.49113
INE208C01025,84,Aegis Logistics,25.62,13.33,0.15258001
INE356A01018,2138,Mphasis,99.97,22.09,0.17743999
INE233A01035,1165,Godrej Industrie,36.79,8.17,0.10832
INE571A01038,1540,Ipca Labs.,44.92,16.98,0.13217
INE195A01028,3279,Supreme Inds.,81.44,20.73,0.158
INE226A01021,3708,Voltas,11.3,9.04,0.057189997
INE191B01025,3738,Welspun Corp,87.48,22.89,0.19399999999999998
INE031B01049,104,Ajanta Pharma,90.79,34.51,0.271
INE212H01026,101,AIA Engineering,136.81,21.09,0.16951999
INE347G01014,2461,Petronet LNG,26.08,22.74,0.18559
INE823G01014,1632,J K Cements,122.49,15.10,0.156
INE603J01030,2474,P I Industries,86.94,14.99,0.123509996
INE410P01011,1273196,Narayana Hrudaya,39.94,15.50,0.205
INE589A01014,2251,NLC India,25.41,10.45,0.15966
INE068V01023,1274812,Gland Pharma,62.67,15.14,0.10532
INE511C01022,1951,Poonawalla Fin,9.55,7.51,0.058600000000000006
INE111A01025,702,Container Corpn.,16.38,12.41,0.0981
INE819V01029,1285570,Aditya Infotech,31.95,28.56,0.25425
INE335Y01020,1274700,I R C T C,17.44,46.09,0.34959
INE031A01017,1274074,H U D C O,21.47,8.41,0.20199999999999999
INE470A01017,13,3M India,460.38,50.05,0.289
INE006I01046,309,Astral,20.31,19.86,0.13798
INE048G01026,2217,Navin Fluo.Intl.,130.74,20.96,0.20105
INE913H01037,1273546,Endurance Tech.,67.58,17.80,0.15156999
INE619A01035,2803,Patanjali Foods,16.68,12.00,0.14832
INE302A01020,982,Exide Inds.,10.98,8.54,0.059699999999999996
INE019C01026,1320,Himadri Special,15.91,22.12,0.17800000000000002
INE474Q01031,1275351,Global Health,20.68,17.14,0.152
INE010V01017,1273505,L&T Technology,120.53,26.71,0.215
INE686F01025,3548,United Breweries,15.61,10.68,0.09292
INE704P01025,1274120,Cochin Shipyard,27.18,15.95,0.12517
INE168P01015,1284839,Emcure Pharma,48.73,23.97,0.19573
INE0LP301011,1285762,Physicswallah,-0.08,4.02,-0.00789
INE148O01028,1275225,Delhivery,1.98,2.82,0.01596
INE930H01031,1827,K P R Mill Ltd,25.32,19.58,0.16197
INE575P01011,1275115,Star Health Insu,11.36,8.57,0.07507
INE522D01027,1989,Manappuram Fin.,11.82,8.25,0.06968
INE472A01039,519,Blue Star,25.72,21.24,0.16222
INE042A01014,955,Escorts Kubota,124.06,13.93,0.120220006
INE463V01026,1275117,Anand Rathi Wea.,27.58,57.47,0.473
INE672A01026,3368,Tata Inv.Corpn.,8.56,1.57,0.01438
INE093A01041,1311,Hexaware Tech.,21.79,30.07,0.21473
INE379A01028,1285312,ITC Hotels,4.16,11.23,0.0789
INE967H01025,1274885,Krishna Institu.,6.05,9.29,0.09724
INE00R701025,1274605,Dalmia BharatLtd,49.88,7.59,0.0611
INE671A01010,1366,Honeywell Auto,621.93,16.95,0.126
INE202E01016,1284567,Indian Renewable,6.73,8.69,0.156
INE260B01028,1163,Godfrey Phillips,87.68,32.84,0.266
INE036D01028,1724,Karur Vysya Bank,28.39,7.62,0.191
INE531F01023,1284522,Nuvama Wealth,57.93,17.49,0.27317
INE691A01018,3521,UCO Bank,2.25,5.55,0.08541001
INE839M01018,2923,Schneider Elect.,8.83,29.63,0.31813
INE0INX01018,1285467,Aegis Vopak Term,2.84,7.56,0.11566
INE600L01024,1273172,Dr Lal Pathlabs,32.39,28.00,0.223
INE007A01025,737,CRISIL,120.77,32.55,0.29052
INE146L01010,1792,Kirloskar Oil,38.98,14.55,0.16819
INE049B01025,3767,Wockhardt,13.13,7.55,0.04005
INE115Q01022,1285190,Inventurus Knowl,42.24,36.86,0.31441
INE142M01025,1284568,Tata Technolog.,13.76,20.90,0.163
INE382Z01011,1274573,Garden Reach Sh.,60.09,42.96,0.318
INE103A01014,1996,M R P L,17.91,18.03,0.145
INE548A01028,1319,HFCL,3.84,10.86,0.0695
INE777K01022,1284488,R R Kabel,53.81,28.10,0.213
INE404A01024,1274975,Aditya AMC,34.81,32.23,0.252
INE797F01020,1658,Jubilant Food.,5.7,14.59,0.16893
INE149A01033,3489,Chola Financial,132.71,9.75,0.18035
INE810G01011,1274880,Shyam Metalics,40.12,13.01,0.09699999999999999
INE115A01026,1888,LIC Housing Fin.,104.31,8.59,0.14400000000000002
INE470Y01017,1274192,New India Assura,4.67,4.29,0.0492
INE545U01014,1274308,Bandhan Bank,8.39,6.41,0.049100000000000005
INE483A01010,604,Central Bank,5.04,5.64,0.115600005
INE570L01029,1285187,Sai Life,16.44,19.55,0.1513
INE736A01011,1274088,C D S L,21.86,31.98,0.23913
INE342J01019,3720,ZF Commercial,898.98,19.08,0.146
INE572E01012,1273561,PNB Housing,89.51,9.44,0.127
INE732I01021,1274790,Angel One,11.08,14.77,0.156
INE438A01022,219,Apollo Tyres,21.66,13.86,0.08719
INE002L01015,3095,SJVN,1.62,5.57,0.0452
INE0FS801015,1275204,Motherson Wiring,0.94,38.86,0.32394
INE248A01017,1554,ITI,3.04,1.43,0.1659
INE596F01018,1270757,PTC Industries,67.4,8.43,0.07019
INE0DYJ01015,1275268,Syrma SGS Tech.,19.27,16.73,0.139
INE371P01015,1274257,Amber Enterp.,50.6,10.25,0.05583
INE0DK501011,1275345,Piramal Pharma,-2.37,2.52,-0.0383
INE530B01024,1424,IIFL Finance,49.06,10.87,0.126
INE00LO01017,1274849,Craftsman Auto,194.51,13.91,0.125
INE0NT901020,1284419,Netweb Technol.,45.69,37.50,0.32799999999999996
